Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_58,-0.36184537,0.94851416,0.65775037,-1.4308566,-0.25933632,-1.5578498,-0.5417196,-2.4417968,0.34658936,0.3973043,-0.2292578,-0.07171427,0.7379555,0.8803988,-1.7288567,-0.22591265,-0.8251881,-1.6995207,-1.4354331,-0.2873849
Subject_59,0.7202566,1.2466633,1.1944108,-0.6957958,0.8274219,-0.21004607,-0.48928642,1.1922523,0.8166997,0.6135974,0.5681044,-1.0209267,1.2009621,-0.53593373,-0.4296072,-0.69628054,-0.87200284,-0.4624497,0.48263124,-0.511681
Subject_60,0.8582591,-0.14180969,0.46177545,-1.4693817,1.1287462,1.0095245,-0.33786193,-0.3466643,1.2204283,1.6813332,0.5638013,-1.7662945,0.76655257,-0.22721152,-0.69513077,0.44838756,0.5762335,-0.7748547,0.35914862,0.76994646
Subject_61,-0.5355684,-0.09673017,-1.1654061,-1.1635667,0.08636851,-0.64688,-0.9375551,-0.56805825,0.8388591,1.6977762,1.0677623,1.0523256,-0.2952221,-0.45623985,0.7567517,-0.9547529,0.9560111,-0.8057334,0.44612172,0.63766193
Subject_62,1.0346283,-0.638285,-0.96158075,-1.7721617,0.849599,-1.5879716,-1.264983,-1.1702132,-0.10418114,1.1435363,0.9246745,1.0475131,0.62360156,1.4046394,-0.5273741,0.2604147,-0.39777243,-0.5456339,0.2104302,1.0857595
Subject_63,-1.9445146,-1.2973841,2.24298,0.40945122,-1.2421132,-1.8923459,0.23394626,-0.6595506,-1.0987236,-2.31539,-1.0679544,-0.6496848,2.1911566,2.1404345,-0.97023016,1.0955412,-1.0343559,0.9552568,-1.5290672,-0.83347595
Subject_64,-1.6961819,-0.36641157,-0.9642889,0.761942,0.9417258,0.34477487,0.68339306,-0.6282939,-0.853129,0.24706817,0.88578546,-0.7818033,-0.46247524,0.8239939,1.0127774,-0.5642839,0.09772223,-0.5828466,-0.021589527,0.99948204
Subject_65,-1.5697058,-0.77417076,0.25674975,-0.45329696,0.8077799,1.8009474,0.101269424,0.8984725,-0.58923113,1.0755911,0.9296477,1.9723551,0.47129017,0.7844258,0.75869626,1.2695363,-0.6835086,-0.7768279,0.31179208,-0.2850313
Subject_66,-1.1067678,-1.4419066,1.0378077,2.3404477,-0.09789953,0.36873206,-1.1517346,0.58333176,-0.914529,-0.9549039,-0.5441258,0.50685203,-1.0848088,0.07963555,-1.6753438,-0.04455257,0.559976,0.40306365,-0.5235626,-0.61538786
Subject_67,-0.65547067,-0.3627208,-2.319772,-1.7064459,-0.23305835,0.7206425,-0.40272018,0.915851,1.5112207,0.9774277,-0.14680226,0.9470505,1.1607561,-1.6291121,1.4191809,0.17265753,0.74279207,0.9284492,1.081672,1.1365305
Subject_68,1.2215263,0.37295094,-1.058539,-0.8496787,0.1628092,1.147822,-0.8032737,1.1003976,0.49639818,0.64753014,1.2186126,-0.769939,-1.2751411,-1.4857312,0.92521554,-1.2682163,0.9786865,-0.5679507,0.40802744,0.8205635
Subject_69,-0.9291042,0.19207811,0.9125446,0.93652517,-1.0379117,0.40690428,-0.85058975,0.2480844,-0.64529604,-1.1011223,1.1014763,0.5530286,0.13480964,0.18863419,-1.0840964,-0.33039376,-0.67950857,0.088977136,0.2754895,-0.7357248
Subject_70,0.40941626,-1.1985809,1.4015956,0.28726795,-1.279898,0.019008763,0.6107702,-0.3463756,-1.5765212,0.036732547,-0.14865494,1.5474057,-0.19069536,0.8572876,1.0458455,0.9968878,-0.5760413,0.018789211,-0.23298079,-0.5376332
Subject_71,-0.23494177,-0.0063648974,0.76665974,0.536312,0.18041874,1.0906079,-0.058862373,-0.53618765,-0.6357325,-0.97604823,-0.54038084,-0.9540537,2.0133345,-0.40710023,-1.4684314,-0.9728227,0.5400225,-0.1436007,-0.19180529,0.1703349
Subject_72,0.8838761,0.47880435,-0.44641128,-0.09266233,0.8738628,-0.3948207,-0.46705142,0.4805873,0.6207903,0.45079267,1.2409179,-0.24853829,0.8047514,-0.23578891,0.09933189,-0.8306435,0.39259118,0.38219556,0.4028909,0.2547658
Subject_73,0.5536153,1.5651647,0.40890446,0.48992223,1.1739986,-1.0167096,0.5615402,0.9209212,0.19279516,1.2597643,-0.19972509,-0.45628124,-1.4369547,1.0510937,-1.0283881,0.9036093,1.2142234,-1.6408734,-0.09121264,0.3257025
Subject_74,-0.86283225,0.3881916,-0.89681435,0.79574245,1.0123115,1.3850001,-0.86086357,0.90833724,0.87291515,-0.1453094,0.43664092,-0.45723224,0.49093324,-0.22186525,-0.27066493,-1.1015934,0.7248237,-0.6975663,0.40268368,-0.25512737
Subject_75,-0.09178075,1.5018283,1.1132352,-1.2190667,0.88502645,-0.8348335,-0.93404394,0.24919228,0.69832075,0.82368577,-1.2368194,0.3140016,0.102106825,1.2520394,-0.029935202,0.087816,-1.2882448,0.923986,-0.6875166,0.66928047
Subject_76,0.39931732,1.4752107,0.7655514,0.9604668,0.25617123,-0.7512207,-0.121924266,-1.640375,0.26318842,-0.6103419,0.39894974,1.1799982,-1.3642614,0.9092701,-1.6448642,-0.14198768,-1.25475,0.21595171,-1.247928,-0.824802
Subject_77,1.5398388,0.26327956,0.91013426,-0.15318036,-0.26278114,-0.34726098,0.73081404,0.48579887,-0.51524293,-1.0176926,0.97153807,0.2077872,-0.74238616,-0.61221474,0.407164,-0.99325204,-0.27070463,0.54242307,-0.4628731,-0.8517875
Subject_78,-0.85865605,0.9618651,-1.9607732,-0.8605431,-0.2079011,0.83063,2.3428743,0.4138164,1.4155773,2.289269,-3.7304995,-0.6617489,-0.9077358,-2.0559568,1.64735,-1.3430978,1.5270567,-1.618264,-0.26860583,1.997509
Subject_79,-0.15826133,-1.0899332,1.3430253,2.2277243,-0.6256053,0.6288441,0.32116657,0.7683639,-1.0917426,-0.53347737,-0.53147125,1.3527824,0.6812467,0.99724716,1.3684582,1.132304,0.5667664,0.06222954,0.22767256,-1.0766574
Subject_80,0.56402266,-0.10223196,1.0045532,-1.1126388,-0.37925407,-0.51860803,0.51523703,-0.7968974,0.6928901,-0.40481982,0.6222165,0.61567616,0.6535991,0.018760685,0.4852938,-0.8886287,0.24938919,-0.5532951,-1.2946515,-1.3503621
Subject_81,0.6311058,-1.6131022,-2.2902799,-1.0427494,0.51190275,-0.015021274,-0.64363706,-0.1448142,0.83640116,0.88001925,1.2062016,-0.48160118,-0.2737211,-1.2319316,1.0162554,-0.73708546,1.249032,0.052379657,1.0730007,0.9714629
Subject_82,0.4015637,-0.79643065,-1.9549714,-1.1020489,1.0087764,0.80073845,-0.83550936,1.4586735,1.1261562,0.5118374,0.6192534,-0.30418327,-0.36823487,-0.754971,1.0353564,0.7231536,0.8357464,0.94721526,0.61629206,0.39491472
Subject_83,1.0513093,0.4944504,1.3164891,-0.7353355,-0.8377039,0.5986611,-0.4037961,0.046677455,-0.0682615,-0.24292405,0.39858773,-0.41081947,0.08324315,-0.23838007,0.5889351,-0.92570037,-0.68670774,1.0748402,-0.59757507,-0.15184672
Subject_84,-0.8453829,-1.7531629,0.89877176,0.69723266,-1.0144962,-1.4678975,-1.0248716,-1.1719007,0.50861794,-1.651519,1.1646879,0.31032968,-0.55997413,-0.28764963,0.042744204,-0.4264475,0.21432687,0.32879853,0.8071352,-0.73809934
Subject_85,0.8050376,1.4127796,-0.5954486,-0.025819885,1.0131193,-0.7278005,1.4474931,-0.29829684,-0.19984505,1.339466,-0.4153821,0.35647067,0.5329587,-1.1027243,-0.4325642,0.2612842,-0.010618053,1.1960268,1.2826878,0.34974352
