Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9
Subject_40,-645.8493,-59.30738,448.974,-55.3178,-485.47504,182.52663,278.58713,37.568203,-193.64278,-242.1713
Subject_41,637.51843,395.0701,27.872375,-596.8621,-319.1249,855.8716,128.51942,271.24677,-265.5951,311.95758
Subject_42,791.1887,-934.4567,43.924095,471.60715,-367.57126,228.37746,-128.28442,161.90399,-211.42955,103.67652
Subject_43,-242.92267,-209.25455,-584.1392,155.34695,127.31041,298.9999,401.36517,-119.186325,304.6413,-333.77707
Subject_44,1113.8085,174.36871,-119.47781,383.86102,-964.5659,59.670525,-387.89127,-19.341461,-167.72496,-103.9007
Subject_45,-271.6967,395.39206,317.89194,-32.764286,-202.2351,397.02002,352.36,-520.32965,85.63498,-16.214804
Subject_46,486.68295,458.9006,344.12524,576.1446,-248.94466,-1257.1609,39.455658,-223.01152,-37.93218,-68.56573
Subject_47,-411.17374,418.97095,140.18436,65.28389,-292.56946,55.39922,150.85378,34.944057,17.22478,391.14468
Subject_48,68.52918,-630.15186,302.5991,131.95992,399.13052,21.795488,-339.6123,114.21998,-586.51654,-1.0363135
Subject_49,1438.937,-315.3067,305.3315,-165.90015,530.35706,91.384125,-115.2402,-220.04382,173.4257,33.016323
Subject_50,-1600.5845,224.08005,-454.36246,-53.457344,-36.844795,-389.3224,-263.78705,82.09595,177.11707,-73.21942
Subject_51,-764.0412,-275.10156,-397.25284,344.56726,-388.09656,95.26733,111.56556,233.84364,608.037,-32.476353
Subject_52,-1371.1064,-327.02368,-387.42633,-368.08746,34.316166,416.8925,27.316528,-38.70882,166.7538,-206.4665
Subject_53,712.2277,243.70966,-134.7474,-63.94185,-472.68475,-134.10493,-296.04636,-252.5127,2.948059,-302.89767
Subject_54,581.9175,250.48343,1409.2556,-76.8773,265.47568,157.99394,866.9453,-67.37909,-284.7123,167.13252
Subject_55,-450.48056,281.2825,59.538742,-366.1193,154.93756,-244.92207,-568.6855,-367.78897,193.9116,243.59618
Subject_56,281.04022,680.54065,-840.0876,-539.6643,409.44864,71.53343,515.5483,491.16574,-43.549046,-187.98474
Subject_57,1550.2183,448.31894,-42.076164,-353.99826,389.4592,-107.58075,304.75018,29.652676,76.93567,132.9056
Subject_58,740.59375,-348.11575,1225.0515,-1.3959887,-148.82948,160.65536,-173.66069,-83.51495,235.8187,205.3113
Subject_59,177.05757,437.87744,95.30709,-474.04074,77.58235,-63.006817,433.8989,191.20695,238.36438,181.86896
Subject_60,-1313.4066,220.30882,596.2842,-76.96826,-348.48996,20.379635,-57.199276,269.9316,383.58307,172.24385
Subject_61,-1381.044,-596.9807,332.72662,-185.8148,-216.69177,57.467068,-153.08992,-372.3088,-98.9618,214.05197
Subject_62,-477.85635,-1032.8093,1182.73,175.51753,-181.16888,-141.90161,2.2562814,-252.88785,62.818275,-16.307829
Subject_63,3178.5159,-873.8306,83.412315,575.42596,676.6061,34.986916,-147.38776,326.76624,-7.1517835,734.9308
Subject_64,-11.269953,-675.5215,-240.3728,762.0209,371.54446,-525.8676,-505.9107,497.71536,-283.3662,92.82172
Subject_65,-25.613567,-628.6587,-353.7036,308.9623,-894.0121,-402.0388,381.13574,-228.63632,-203.71837,-12.662798
Subject_66,1462.3562,-351.09763,-504.36185,15.20445,683.253,-218.16043,-507.1981,-7.0894084,437.15244,-279.51398
Subject_67,-2176.767,108.6927,459.1125,-203.46153,74.266266,-124.7952,126.03614,-170.31279,-460.6315,-110.0044
Subject_68,-1918.2848,-133.32285,-298.0358,-508.69675,136.49529,-108.69766,17.494621,-0.7348852,-35.680695,134.91458
Subject_69,951.7175,55.754913,-373.73422,-309.41187,-69.56913,26.863525,-92.56895,-98.092995,171.10353,-289.48044
Subject_70,905.704,-722.7447,-404.81003,488.18866,29.994816,-88.11458,262.7397,-177.8657,-343.7816,261.0008
Subject_71,927.5619,-370.18976,-374.7388,-280.25946,960.681,170.86624,-74.86122,403.54666,11.992712,-197.06612
Subject_72,-490.9303,47.110874,102.95165,-384.01953,-87.8289,-88.16316,122.28628,-46.04807,160.07988,10.601146
Subject_73,-160.43945,-444.58365,140.5941,434.2317,-206.9773,279.9115,24.461443,149.2272,727.3772,-27.095316
Subject_74,-639.9421,-0.61685735,-367.34167,-207.28427,-122.51414,134.42303,-57.495625,219.93237,105.735985,-411.15714
Subject_75,562.7719,899.5039,811.3253,820.72174,-287.2979,-673.7913,148.6244,-122.35571,61.783237,204.44685
Subject_76,1113.42,544.9789,595.78406,-313.67438,-385.39426,-149.5026,-748.1903,91.633965,141.66965,-585.7828
Subject_77,191.25232,422.9628,-276.9409,-613.45575,-122.82403,-32.284756,234.98268,-75.01415,-57.449814,376.07047
Subject_78,-2354.562,1829.9158,-199.0349,2176.4639,626.21265,1602.7485,-573.45605,-233.20308,-101.88122,217.1882
Subject_79,1274.8181,-69.781425,-1220.5067,462.73996,-573.08655,221.17238,565.6647,-382.39053,-176.86185,-65.008804
Subject_80,216.35828,66.37938,122.6735,-501.14465,-461.9691,349.24423,205.7409,2.2277932,-264.69415,644.33905
Subject_81,-1912.9132,-681.5265,-9.904413,-416.82007,282.2088,-4.2485514,-158.19049,-144.39395,-41.374012,59.372063
Subject_82,-1780.5605,-248.72818,15.447993,-225.12006,-12.001951,-132.39572,35.39159,200.25105,-204.0526,-3.8861587
Subject_83,231.84834,534.9422,-240.39008,-193.02257,-119.28895,-254.30885,35.548454,10.985946,-140.78545,343.0945
Subject_84,602.59827,-450.03406,-496.84894,-582.314,-88.35608,460.1512,-268.731,-469.43304,68.93816,109.046585
Subject_85,-361.60788,592.73914,474.58145,-55.979412,330.61322,142.48155,372.3092,-200.94135,55.541706,-277.56168
