Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_24,-0.4655792,1.0770614,0.7694159,0.5956596,-0.4018273,-0.1178774,-0.76537126,-1.1216645,-0.3846081,-0.90506524,1.258563,-0.36887676,0.4745001,-1.1443641,0.59307027,1.5397167,1.2227108,-0.3941136,0.09164432,0.51412165
Subject_25,0.5929542,-1.4509734,-0.9952099,1.1006559,0.7177694,0.90537655,-1.0505757,-1.4965348,-1.1468225,-0.39061886,0.5872176,-2.2844014,1.7317662,1.242179,-0.65108186,-0.88782454,-1.5265195,1.0936202,-0.33694574,0.78988254
Subject_26,-0.4191061,0.21738823,0.5448733,-1.3899133,-1.6358831,1.1125739,-1.4600209,-0.9037967,1.0254961,-0.7967803,0.13532847,1.2362548,0.39080152,2.1661184,-0.9072821,-0.8247466,1.5262529,-0.5072243,0.07463791,0.45462403
Subject_27,0.8146388,0.32079536,0.5745354,0.5183064,-0.99770194,-1.3461791,0.3778578,1.1712956,0.6576181,-0.21348582,0.70823944,-0.9295333,-0.33967808,-0.5995053,0.7311539,-0.31456888,1.1157517,1.0685558,-0.3444325,-0.5020165
Subject_28,-0.87619275,0.21310471,-0.5438231,-1.4491427,-0.4032963,1.3531945,-0.27466017,0.8176749,-1.2854422,-1.4904802,0.5899271,0.71875846,0.4568994,-1.0354171,-0.058592804,1.1129209,-0.8434809,0.7294382,-0.7906995,1.3461515
Subject_29,0.7205072,-0.5114549,1.0884328,-0.32662517,0.68411946,-1.7447345,0.72090214,1.2442307,-0.31239203,0.2786745,0.9061504,1.1119555,-1.2949454,-0.859837,1.9432802,1.4099977,0.7749034,0.80360085,0.37572795,0.4704021
Subject_30,0.3985295,-0.58853674,1.0289499,-0.6906074,0.6754784,0.4118777,-1.0779407,0.10549793,-1.0368977,-0.5750054,0.060900927,-0.28147644,1.9715778,1.1412122,-0.5475987,-0.15673223,-0.3820726,-0.75430906,0.9306579,-0.9533682
Subject_31,0.8420744,0.41016826,0.5863721,2.1144097,1.3873438,-0.27522853,0.3707007,0.67139506,-0.4169252,1.292096,-1.3393146,-0.28962725,-1.2120074,-0.69740784,-0.8538714,1.1945953,0.7404509,1.0886436,2.311673,-1.4847623
Subject_32,0.7426622,-1.7119824,-1.2689683,0.46842968,0.895829,0.90362394,-0.9900614,0.31189594,1.1032953,-0.98986375,-0.11294885,-0.8716169,0.7429369,0.64639056,0.19113065,-1.1024921,-0.7763668,-0.22241004,-0.52408075,1.2205385
Subject_33,-0.5622887,-1.2751528,0.6400877,-2.099464,-1.4749222,1.4460448,-1.2942618,0.4502562,-0.4143893,-2.0021029,0.3717899,1.056219,1.1970253,1.7348278,-1.0741936,-0.56812453,-0.6518432,-0.09136651,-0.96283525,1.5487562
Subject_34,0.7539822,-1.2793773,1.3393799,0.84167063,0.22542831,-0.34814233,0.3162811,0.43477416,0.94383377,0.51887,0.33474872,0.06752028,-1.1369631,0.32740843,0.79488003,1.2775811,1.7036794,-0.7905742,-0.33920434,-0.6711152
Subject_35,-0.8609107,2.5764213,0.8195406,0.6093032,-0.6415104,0.26368746,-0.4033791,-0.7482115,0.16594422,-0.5273449,0.035295773,-0.15444669,-0.35336587,-0.49000108,-0.017542312,-1.4827158,-0.58491933,-0.8047708,-0.6432856,0.68169624
Subject_36,0.8596044,0.32851005,0.8485038,-0.3746618,-1.1926241,-0.21579778,-0.7321748,-0.51929826,0.82979417,0.27538824,0.038764294,1.2573525,-0.65478253,0.88877195,-0.3896049,-0.5879321,0.4351047,-0.33825433,-0.40989316,0.7976681
Subject_37,-1.309017,0.64027435,0.6880063,-0.26713553,-0.95276815,0.16471718,1.152444,-2.6521823,-0.3307557,0.467819,0.9540535,-2.291904,-0.42844522,1.049644,-0.94606864,-1.625718,-1.6740521,0.6909387,-0.51741874,-0.34469178
Subject_38,1.0964141,0.46013165,-0.6218657,1.2832531,1.2594467,-2.3687048,1.9411333,1.4703122,0.13731317,1.3273013,0.7357552,-0.090082645,1.0707024,0.62639314,0.28801966,0.32157287,-1.1345428,-0.6862439,0.93849677,-1.0630934
Subject_39,-0.3785251,0.72258645,-0.8912406,-0.4655426,0.21036345,1.5108457,-0.7226092,0.96410155,-0.5378993,-1.0403044,0.3611868,0.5183006,-0.36897704,-0.6690089,-0.46305948,-0.43856657,-0.9382968,0.7626661,-0.5518101,0.8056669
Subject_40,-0.31690794,-1.0253612,-0.31941742,-0.8665629,-1.3969531,-0.49498868,-0.1742945,-1.1111856,-0.24758348,-0.37984055,0.14289032,-0.9015711,-0.27881357,-0.1930801,0.21510437,-1.2308089,0.43913198,-0.35638988,-0.32560304,0.37415168
Subject_41,-1.2684245,-0.3668214,-0.6137729,-0.6377335,1.5291488,-0.55316883,0.4335874,-0.91710186,0.10706092,1.3544966,-0.8810731,-0.2515357,-0.7661085,-1.119661,-0.6104219,1.0102112,0.0570814,-0.23658386,1.1130666,-2.2290196
Subject_42,-0.8833589,-0.73664886,1.02817,-0.53722024,-1.1480911,-0.49970913,0.26124573,1.1821302,2.0866516,0.7637957,-0.49619654,0.36086047,0.796852,1.0630251,1.2441654,0.2571075,1.2486073,-0.15327428,0.52245414,-0.48241973
Subject_43,-0.9649975,-1.2233965,-0.5400543,1.0648744,-0.8418732,0.8931446,-0.08906801,0.47477758,-0.20938236,-0.84911066,-0.4119171,0.5075319,-0.39566272,0.65842575,-0.66080165,-0.5063255,-0.12626113,0.7092823,1.0289924,-0.06323625
Subject_44,0.6531238,-0.06436802,-0.011078954,1.5348935,-0.9618134,-0.9654307,0.06476723,-0.8276453,1.4045088,1.4345527,-1.5136533,-0.935469,-1.0536813,1.313416,2.7418647,0.37675348,1.1776083,0.72510415,0.5926182,-0.37474963
Subject_45,-0.13411608,-0.40624598,-0.45429033,-0.37963006,-0.59549224,-0.44411764,0.3691494,-1.4806936,-1.0125699,-0.25708878,-0.8212689,-0.29287386,-1.3462629,0.8797881,-0.14797351,0.54987043,0.8204082,-0.9177373,-0.5288104,-0.27766722
Subject_46,0.6539984,2.3921816,0.17032932,0.371481,-2.3129737,-0.3437549,-0.47500387,0.6299723,0.6534197,0.3795781,0.15213662,0.38175458,-0.40548304,-0.99382323,0.9340545,-0.20418765,0.27600548,1.2061111,-1.2270103,1.2424481
Subject_47,-0.5920921,-0.7410296,-0.70815027,0.20747988,-0.10514078,-0.21972942,-0.4683577,-0.3476362,-0.5191077,0.4493454,-0.6554024,-1.1826074,-0.32523224,-0.405272,-0.8213578,-0.5463688,-0.12829559,0.59561574,-1.4863616,-0.43973958
Subject_48,-0.7353036,-0.7156511,0.6519084,0.16314365,-0.51269495,-1.2667456,0.09854435,-0.20304868,-0.2645296,0.14102733,1.1665186,-0.53934914,1.9525727,0.1868528,1.3391289,-0.0938862,-0.66329086,-1.1240926,-0.25750583,0.74550754
Subject_49,-0.02980979,0.63264865,0.9086556,0.5374309,-0.51936316,-0.45705697,2.122439,0.70222175,0.024113595,1.058412,0.2522354,-0.56944734,-0.44808424,-0.606038,1.0932688,1.1339805,1.1043286,-0.30789706,0.806217,-0.45971695
Subject_50,0.9819105,-1.3559992,-0.877329,0.5133788,1.4536625,1.5283213,-1.5957744,0.49488783,-0.75599223,-1.0886341,0.9404078,0.11333363,0.8023083,-0.5979772,-1.2380036,-0.7329397,-0.8084357,0.846326,-1.1238387,0.8157293
Subject_51,0.28397647,-1.2928818,-1.2020699,0.42634225,-0.44536182,1.4722706,-0.5548148,0.77817464,1.1791574,-0.8461333,-1.6623508,0.8996519,-0.6705375,0.45942447,-0.46449557,-0.8371244,-1.1290249,1.1193451,-0.41958442,1.1593894
Subject_52,0.21351081,-1.4505385,-1.2305471,-0.3741071,0.65443987,1.0167507,-0.7550951,0.4299204,-0.9233073,-1.4282595,1.1295059,0.49548876,0.5877352,1.2389301,-0.9277945,-0.39395347,-1.0547436,-1.3891327,0.52779716,-0.20539048
Subject_53,0.7127133,0.88118577,-0.6772631,0.7979197,0.21628603,-0.37810028,-0.5648073,-0.84501,0.99679327,0.030220563,1.1425418,-0.17759146,-1.9681621,-0.9308799,1.5909573,0.97245115,0.5505267,-0.9711289,0.99923116,-0.9653132
Subject_54,-1.2741835,1.515937,-0.03713808,-2.1940563,-0.9310801,-1.42926,1.6732931,-1.2700975,-0.29471433,0.41025448,-0.3645475,-0.5728842,-0.8759345,-0.97966194,-0.6744459,-0.6807424,0.9120544,-0.9497704,-0.8518997,0.36369962
Subject_55,0.85120684,0.5917249,-1.1469473,0.36988127,1.6458662,0.09815473,-0.02186033,1.0998323,-0.86656487,0.14176962,0.7378833,-0.6790479,0.5080113,-1.0215387,-0.43931645,1.8703549,0.25354415,0.73079944,-0.74243003,0.5438003
