Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40,Factor_41,Factor_42,Factor_43,Factor_44,Factor_45,Factor_46,Factor_47,Factor_48,Factor_49
Subject_74,-0.7580036,-0.5139582,1.0867403,-1.0258826,0.9032388,-0.6531169,0.64627415,0.79707086,0.74513185,-0.9685079,1.2771919,-0.89975584,-0.099540435,-0.081397496,-0.8814241,0.55178916,-0.5785387,0.5896814,0.51239705,-1.243194,0.5910765,-0.09881632,-0.50345373,-1.8262289,-0.85426885,-0.6900631,-1.0194582,0.6263363,-1.1333822,-0.06637244,1.3910831,0.1220419,-1.7686758,0.13198413,-0.38737974,0.06768413,0.6715697,-0.11122153,1.1009874,0.6119562,-0.49371085,0.2573003,-0.0749307,-0.7037339,-0.3345362,-0.067766406,1.0924255,0.23146027,0.19022487,0.016693288
Subject_75,-0.7558036,-1.1105846,0.22487244,1.9004729,-0.99129343,-0.089497045,-0.65634125,0.08923542,0.48771757,0.87213576,-1.5309662,-0.9011737,1.0048642,0.62542367,0.5952994,0.9897465,0.66996956,0.17785932,-0.5654258,0.20623668,-1.9138697,-1.2005391,1.5003471,-1.1458023,1.7680964,0.5668347,-1.0786144,-0.38985664,0.40830684,-1.1873338,-1.1837155,-0.8748634,-0.86078936,-0.4381616,-1.2103812,0.08745317,-0.84236777,1.108172,1.2519691,-1.2430148,1.4412344,0.59382236,-1.0050706,1.0900446,0.98735803,0.08639292,1.2185577,-0.7323667,0.6297724,-1.1071795
Subject_76,0.84085304,-1.9095871,0.2717942,1.0888966,-0.9727101,-0.5924097,-0.17822365,0.8791508,-0.263047,0.37176892,-0.7006621,0.27089527,-0.5941771,-0.8014541,1.2611008,-0.24687324,0.30777803,0.009597055,0.6067327,-2.1839519,1.3341264,0.19244903,-1.0597572,-0.35922503,0.87089837,0.54397404,0.83743554,-0.30965737,2.0045896,-0.75014716,-0.88514805,0.6977053,-0.33757526,-1.442791,2.509296,1.2092723,-0.46092474,0.46310768,-0.83200234,0.37524587,-0.40821263,-0.9802261,0.094807886,1.5652823,-0.91633,0.32628182,1.1931899,0.63654476,0.7147179,-0.23389979
Subject_77,0.64784896,0.00032837683,-0.22131042,-0.13783139,0.49125338,0.2984442,0.7280664,-0.85633117,0.12315227,0.320787,-0.7489434,0.8578539,1.0390421,0.17685601,-0.36349118,-0.94656396,-0.3210717,0.9032164,-0.7806757,0.5794743,1.4911666,1.316672,-0.049361415,0.013656067,0.035044163,0.4917254,0.45269746,0.4919208,-0.28268576,-0.93853897,0.7177984,0.22235547,0.3271799,-0.3972798,0.581865,0.9523311,-0.7686328,0.25303668,-0.39567626,2.2360165,0.41078168,-0.61495876,-0.50956553,0.1938136,-1.0140939,0.73695195,1.0111651,0.88749236,-0.686028,1.7067201
Subject_78,-2.0599608,2.0844905,-0.6676382,-0.5356668,-0.8407787,-1.638388,-1.3913667,-1.0073582,1.9737078,0.8916204,1.1156375,2.8074706,1.4796988,1.9036658,0.48806432,3.1194751,0.1635276,0.6719572,-0.18066365,0.49980494,-1.9458183,-2.6386979,0.9192052,1.8812151,0.19592418,-2.811153,-0.9484227,0.08365511,-1.3760082,0.80698633,0.7745968,-0.4859791,0.08044721,1.1492718,1.0046322,-1.5936594,1.4638071,1.3233835,0.33320868,-3.0873241,-2.6244671,1.6681278,0.68714446,-1.4867529,2.328333,-3.7905984,1.992624,-2.104479,-2.5528831,-0.53533787
Subject_79,0.77579314,-0.98299855,-1.0724599,0.77824396,0.53717643,1.485918,1.6357037,-1.1656609,1.4637213,-0.5423857,-0.117885776,0.7719576,0.8061403,-0.9381544,1.6284525,0.73122764,-2.148571,2.2668777,-0.9589544,1.1867753,1.4871391,-1.0605267,-1.6915752,-1.5918882,0.026851596,1.0248159,0.4985698,0.5338344,-0.39159638,1.3614018,-1.2131205,-0.9329069,0.29581293,2.6675057,-0.91823035,1.0019199,-1.6408392,-0.14502607,0.287599,1.9313768,0.33767974,0.82628816,1.0456831,-1.4578363,-0.9336236,0.4528993,0.3664591,0.14438808,0.6844311,0.8027086
Subject_80,0.5832919,0.7953282,-1.128234,0.28035858,-1.0983695,-0.3089254,0.4986608,0.42766732,-0.62577605,0.83718073,-0.27453345,0.9560456,1.0847539,-0.67810076,-0.5911926,-0.68151194,-1.0670488,1.3293648,0.10604478,0.5651072,0.55824584,0.06845434,0.9477281,0.55293703,1.2216322,0.7620099,0.6147879,0.60733205,0.5464594,-0.050541732,1.1489824,-0.81278723,0.6700608,-0.69762003,0.6726756,1.6398195,-0.8797327,-0.17246436,0.21336159,1.5944703,-0.13058363,-0.5607904,-0.75498676,0.034608647,-1.2062565,-0.6665382,-0.3680927,0.4467853,0.15298593,1.5387464
Subject_81,0.17403983,1.484697,-1.4877466,-1.0719808,1.9207798,-1.1163197,-0.6518075,1.0841743,-0.4475003,-0.31374797,1.871459,-0.70608103,0.68762785,-0.5102178,-0.6919903,-1.3367679,0.5152224,-0.7477268,1.4971063,1.4517511,0.4873002,1.3532544,1.2869673,-0.31104442,-0.4987709,-1.5634869,-0.5603474,-2.105587,-0.22264802,0.8769958,0.7774658,-0.58457446,0.28266567,-0.7486631,-0.8991331,-1.4439512,1.9341248,-0.5626492,0.31751308,0.541149,-0.8054547,1.215187,1.1914351,-0.8975209,1.0340152,0.24521497,0.20613496,-0.78878194,-0.99283016,1.4314405
Subject_82,-0.10875392,0.9244157,-0.41945517,-0.44385716,1.7237298,-1.8281182,-1.0242845,0.8079592,-0.6798276,-0.60294026,1.1280266,-0.71216977,1.3458813,-0.33956838,-0.24089472,0.29015675,0.54322195,-0.2651122,1.1182791,-0.4402502,-0.2109123,1.0851722,1.0676968,0.45725322,-1.3018049,-0.8475594,-1.5296239,-0.9829779,-1.6325186,-0.60839325,-0.65098935,0.13412112,-0.85272557,-0.9940297,-0.4632715,-0.9627282,1.6142105,0.087337896,0.33881384,-0.7282889,-1.2190156,1.629953,0.71702933,-1.0523056,0.15573944,-0.33274,0.020606695,-0.5080981,-0.73028094,0.2574209
Subject_83,-0.44581676,-0.65138257,-0.85676503,-0.13981093,-0.32796133,0.42384887,-0.7262537,0.6760786,-0.18992904,-0.9067503,-1.693324,-0.38396716,0.7869072,0.56036794,0.15984951,-1.0291015,-1.3821781,-0.21717598,-1.3689662,-0.6545389,-0.17048985,0.5131302,0.3430072,0.3328339,0.6861076,0.7502991,0.46402293,1.7320364,-0.27908897,-0.98835313,0.4985903,-0.7611911,-0.2858407,-0.2571885,0.8243988,0.3284248,-0.9083333,0.014277809,0.48873657,1.2976757,-1.2330762,-1.0137079,-0.82951057,-0.8342924,0.30145818,0.7745773,0.83606845,0.3223886,-0.50124,0.7393958
Subject_84,1.4609264,-0.46538448,-1.166712,-0.9640241,0.35512987,-0.07688372,-1.0895684,-0.48786205,0.461402,1.2708745,0.041233562,-0.38411215,-0.17599666,-0.69034666,-0.14949177,-1.2319629,-1.1101007,0.23891409,0.7946374,1.1569865,1.6345559,-0.6296283,-0.8286798,-0.40348175,-0.095993906,1.5712957,-0.70899475,0.31448945,1.174307,0.23217368,0.18085074,-0.742162,2.3281105,0.5781809,0.3502429,0.08589785,-0.82365644,0.66349363,-1.0231007,0.7430861,0.40313056,0.1273041,1.6212856,0.64513135,-1.0796262,0.83660036,0.31750813,1.678849,-0.25197798,1.251449
Subject_85,-0.18558532,-0.6667918,-2.9361384,-0.66335255,1.054005,0.0066931634,1.617452,0.72801256,-0.21130945,-0.34718513,0.1377846,1.4647079,0.30840284,-1.1601787,0.14430825,0.865349,0.47335875,-1.0232255,-0.28462535,-1.5490569,0.48096904,0.4370853,0.7990993,0.76614934,-0.7402269,-1.1611829,-0.3968676,1.3788745,-0.53712136,1.5666472,0.63024163,0.6348676,0.54837507,-0.20945047,-0.7172799,-0.67489994,-0.20952678,-1.0514383,0.9201086,-0.62084174,0.17937186,0.58885074,-1.0355812,0.710693,0.4147733,0.72436404,-0.6972848,-1.1381905,-1.1102518,-0.5712595
